,ID.RSSD,Name,Average.Assets..in.Mn..,Net.Income..in.Mn..,city,state,zip
1,852218,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",1912.461,8.122,677,38,43240
2,480228,"BANK OF AMERICA, NATIONAL ASSOCIATION",1441.3355,6.181,556,30,28202
3,451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION",1383.287,9.707,2932,45,57104
4,476810,"CITIBANK, N.A.",1355.41,6.16,2932,45,57104
5,504713,U.S. BANK NATIONAL ASSOCIATION,365.104722,2.71396,603,38,45202
6,817824,"PNC BANK, NATIONAL ASSOCIATION",310.123488,1.739124,3427,10,19899
7,541101,"BANK OF NEW YORK MELLON, THE",279.604,0.749,2221,37,10286
8,112837,"CAPITAL ONE, NATIONAL ASSOCIATION",238.177911,0.829243,1945,49,22102
9,35301,STATE STREET BANK AND TRUST COMPANY,220.566003,0.913544,324,22,2111
10,497404,"TD BANK, N.A.",219.3515,0.633062,3427,10,19808
11,852320,BRANCH BANKING AND TRUST COMPANY,179.49188,0.912348,3441,30,27101
12,413208,"HSBC BANK USA, NATIONAL ASSOCIATION",177.401547,0.380285,1962,49,22102
13,675332,SUNTRUST BANK,173.987454,0.717622,136,12,30308
14,723112,FIFTH THIRD BANK,127.213628,0.769183,603,38,45202
15,233031,REGIONS BANK,116.900645,0.661804,273,3,35203
16,2182786,GOLDMAN SACHS BANK USA,112.2105,0.644,2221,37,10282
17,1456501,"MORGAN STANLEY BANK, N.A.",110.259,0.474,2798,48,84111
18,212465,"UNION BANK, NATIONAL ASSOCIATION",106.858014,0.400861,2805,6,94104
19,210434,"NORTHERN TRUST COMPANY, THE",101.405777,0.370181,581,17,60603
20,3284070,ALLY BANK,99.026144,0.547832,2025,48,84047
21,3303298,"CITIZENS BANK, NATIONAL ASSOCIATION",96.326732,0.462237,2589,43,2903
22,75633,BMO HARRIS BANK NATIONAL ASSOCIATION,90.797276,0.263239,581,17,60603
23,280110,KEYBANK NATIONAL ASSOCIATION,87.838516,0.447397,632,38,441141306
24,501105,MANUFACTURERS AND TRADERS TRUST COMPANY,87.338229,0.531384,413,37,14203
25,722777,"SANTANDER BANK, NATIONAL ASSOCIATION",74.430092,0.15816,3427,10,19801
26,697633,COMPASS BANK,73.887878,0.207446,273,3,35233
27,804963,BANK OF THE WEST,67.431006,0.247183,2805,6,94104
28,60143,COMERICA BANK,64.715302,0.305235,774,47,75201
29,12311,"HUNTINGTON NATIONAL BANK, THE",60.585661,0.328186,677,38,43215
30,214807,DEUTSCHE BANK TRUST COMPANY AMERICAS,57.8865,0.182,2221,37,10005
31,3212149,UBS BANK USA,45.546139,0.212358,2798,48,84111
32,4114567,FIRST REPUBLIC BANK,44.126106,0.235536,2805,6,94111
33,517900,"FIRST NIAGARA BANK, NATIONAL ASSOCIATION",37.835626,0.156354,413,37,14210
34,2362458,"WELLS FARGO BANK SOUTH CENTRAL, NATIONAL ASSOCIATION",30.6155,0.244,1478,47,77007
35,63069,CITY NATIONAL BANK,29.486733,0.120065,1817,6,90071
36,802866,SILICON VALLEY BANK,28.050798,0.129176,2830,6,95054
37,339858,"BOKF, NATIONAL ASSOCIATION",27.119719,0.150952,3170,39,74172
38,940311,BANCO POPULAR DE PUERTO RICO,26.997,0.116,2808,42,918
39,197478,EAST WEST BANK,26.628212,0.142161,2434,6,91101
40,395238,SYNOVUS BANK,26.051619,0.112961,677,12,31901
41,917742,"ASSOCIATED BANK, NATIONAL ASSOCIATION",24.377297,0.097268,1277,53,54301
42,67311,"FIRSTMERIT BANK, N.A.",24.142817,0.122247,23,38,443081444
43,682563,FROST BANK,24.113927,0.129917,2802,47,782051457
44,485559,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,23.558926,0.140554,1978,46,38103
45,2942690,SIGNATURE BANK,23.240696,0.13849,2221,37,10017
46,601050,COMMERCE BANK,22.337947,0.122185,1590,27,64106
47,2489805,"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION",22.0335,0.05,2597,37,10577
48,3918898,"ONEWEST BANK, NATIONAL ASSOCIATION",21.917601,0.060634,2434,6,91101
49,491224,FIRST-CITIZENS BANK & TRUST COMPANY,21.625557,0.050303,2616,30,27601
50,761806,"WEBSTER BANK, NATIONAL ASSOCIATION",21.072878,0.10699,3302,8,6702
